50779,1,02_CORP_Reconcile_Payments,5/02/2017 18:27:23 PM,Passed,5/02/2017 18:26:32 PM,basic.step,AP_Cash_Management,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4162,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.0.9600.18638",,3690,Passed,"",basic.step,
"Iteration Total (sec)",,46316,Passed,"",basic.iteration,
"Call Function: OracleFinancialsLibrary.web_login",,6383,Passed,"",basic.stepGroup,
"Navigate https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/RF.jsp?function_id=30290&resp_id=-1&resp_appl_id=-1&security_group_id=0&lang_code=US&params=Jknr8tW4I..B4KKQLHC-AA&oas=04JcU4po2tgHxnohZKaQCA..",,161,Passed,"",ft.action,
"WaitForPage https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/RF.jsp?function_id=30290&resp_id=-1&resp_appl_id=-1&security_group_id=0&lang_code=US&params=Jknr8tW4I..B4KKQLHC-AA&oas=04JcU4po2tgHxnohZKaQCA..",,1609,Passed,"",web.pageComplete,
"Frame (URL=https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"SetText textBox(""@id='unamebean'"") TANK",,167,Passed,"",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",,63,Passed,"",ft.action,
"Click button(""@id='SubmitButton'"")",,135,Passed,"",ft.action,
"WaitForPage https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",,1688,Passed,"",web.pageComplete,
"Frame (URL=https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Call Function: OracleFinancialsLibrary.web_navigateToLink",,10465,Passed,"",basic.stepGroup,
"Click link("""")",,207,Passed,"",ft.action,
"Click link("""")",,115,Passed,"",ft.action,
"Click link("""")",,107,Passed,"",ft.action,
"Click link("""")",,119,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_waitForOracleFormsReady",,8757,Passed,"",basic.stepGroup,
"Close window(""@name='PAYMENTS_SUM_FOLDER_WINDOW'"")",,525,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_invokeResponsibility",,10329,Passed,"",basic.stepGroup,
"SelectMenuItem window(""@name='NAVIGATOR'"") File|Switch Responsibility...",,5175,Passed,"",ft.action,
"Activate listOfValues(""forms:listOfValues"")",,2071,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_selectResponsibility",,378,Passed,"",basic.stepGroup,
"Select listOfValues(""forms:listOfValues"") CORP Cash Management User",,313,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_selectNavigator_function",,2211,Passed,"",basic.stepGroup,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Bank Statements",,151,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_selectNavigator_function",,7345,Passed,"",basic.stepGroup,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Bank Statements|Bank Statements and Reconciliation",,5278,Passed,"",ft.action,
"Finish Total (sec)",,48,Passed,"",basic.finish,
